Training Accuracy,Validation Accuracy,Test Accuracy,Average Size
75.737,75.785,68.613,12.6
63.97,69.274,63.387,12.5
68.381,75.775,70.365,13.1
67.058,67.589,66.075,13.9
67.353,69.635,70.634,13.1
67.794,68.973,66.299,13.7
72.573,72.116,70.323,12.8
70.808,70.153,72.237,10.7
72.72,74.102,69.891,12.5
69.483,75.71,67.106,12.7
72.351,77.614,72.311,11.6
75.075,72.705,66.732,15.1
78.53,75.488,74.217,9.3
68.16,72.784,71.667,14.6
69.558,75.853,70.054,16.4
71.985,71.469,68.699,12
69.413,65.533,64.752,12
74.559,76.739,74.957,11.3
77.04222222,74.182,69.321,12.4
73.896,73.447,68.291,11.7
67.55375,69.14,65.7,10.3
67.131,69.565,66.72,11
70.59,74.465,71.904,12.6
67.574,74.683,68.033,13.3
73.455,73.813,67.354,13
65.221,67.01,67.29,11.5
75.81,74.759,73.57,12.5
73.602,79.292,76.238,13.8
75.22,73.525,72.28,14.5
72.63111111,74.40333333,62.30555556,12.9
69.852,72.206,68,12.1
75.663,73.658,68.969,11.2
73.014,73.868,74.957,13.3
65.589,67.685,64.633,11.1
67.794,67.818,64.701,11
69.855,69.416,69.291,10
72.941,71.247,67.032,11.8
70.366,70.961,71.29,11.7
74.411,73.809,70.915,15.4
73.163,74.898,72.613,12.2
70.367,76.571,73.346,13
73.089,72.498,71,9.9
71.542,71.099,69.366,10.3
71.616,71.82,60.765,12.8
73.09,73.504,70.657,11
73.384,75.932,70.666,18.7
74.929,73.59,71.903,14.3
71.764,73.065,71.301,13.4
75.442,74.03,67.968,15
70.957,76.374,69.666,13.9
71.618,75.339,68.355,12.9
73.161,74.094,71.636,11.9
74.705,73.881,69.291,13.7
72.648,74.467,68.324,11.2
70.587,71.033,69.301,10.8
71.839,70.806,66.977,10.3
74.83666667,79.84666667,71.625,18.4
70.67,72.52444444,60.3,13.3
73.897,74.681,69.667,12.5
73.602,76.008,70.011,14.5
73.971,69.933,70.924,11.9
70.148,69.211,64.635,8.7
55.81,63.066,56.786,10.7
71.617,68.54,67.979,10.3
73.53,76.366,69.991,15.4
73.236,66.136,68.925,8.9
73.382,73.153,70.269,12.1
71.251,73.016,74.57,15.8
59.56,60.743,55.657,10.6
73.236,67.517,70.839,13
72.719,73.946,72.26,10.3
64.485,65.555,66.915,11.6
69.56,71.251,65.022,15.6
68.236,69.255,66.119,10.5
73.897,72.642,70.946,11.9
70.735,74.032,69.925,16.5
68.971,71.319,71,13.9
60.294,62.687,63.343,11.6
75.957,74.827,75.247,9.1
71.175,73.595,68.356,12
78.75,70.748,69.947,11.1
66.617,67.044,69.075,10.1
72.499,73.075,71,12.2
69.632,72.718,67,10.1
72.647,72.718,70.903,11.4
72.352,75.12333333,72.945,14.9
68.309,66.998,69.257,12.2
67.28,71.026,71.269,11
69.998,68.407,66.26,11.4
72.87555556,72.35111111,66.59444444,13.5
73.454,73.004,71.603,14
76.471,75.425,68.387,13.7
73.897,73.365,71.291,11.8
72.501,73.52,70.279,13.4
70.222,70.592,72.236,12.1
72.501,72.262,69.345,11.4
67.574,67.142,63.418,9.9
71.325,73.889,72.946,10.9
76.618,77.396,74.249,14
70,65.024,67.334,12.3
